dataset,model,objective,method,seed,model_path,meta_path,runtime_seconds,Retain,Forget,Val,Test,Val MIA,Test MIA,status,error_message
cifar10,resnet18,objective10,bad_teacher,0,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/bad_teacher/10_resnet18_0.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/bad_teacher/10_resnet18_0_meta.txt,45.42253375053406,0.9394771241830066,0.8769411764705882,0.8348,0.8291,0.4951764705882353,0.4949411764705882,,
cifar10,resnet18,objective10,bad_teacher,1,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/bad_teacher/10_resnet18_1.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/bad_teacher/10_resnet18_1_meta.txt,39.5591926574707,0.9389803921568628,0.8771764705882353,0.8352,0.8322,0.4959999999999999,0.496235294117647,,
cifar10,resnet18,objective10,bad_teacher,2,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/bad_teacher/10_resnet18_2.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/bad_teacher/10_resnet18_2_meta.txt,42.3241868019104,0.9372026143790848,0.8632941176470589,0.8414666666666667,0.8355,0.4892941176470589,0.4863529411764705,,
cifar10,resnet18,objective10,bad_teacher,3,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/bad_teacher/10_resnet18_3.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/bad_teacher/10_resnet18_3_meta.txt,39.70193457603455,0.9381960784313724,0.8651764705882353,0.8384,0.8397,0.496,0.4828235294117647,,
cifar10,resnet18,objective10,bad_teacher,4,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/bad_teacher/10_resnet18_4.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/bad_teacher/10_resnet18_4_meta.txt,40.69963884353638,0.9280522875816992,0.8651764705882353,0.8321333333333333,0.8335,0.4963529411764705,0.4807058823529412,,
cifar10,resnet18,objective10,bad_teacher,5,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/bad_teacher/10_resnet18_5.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/bad_teacher/10_resnet18_5_meta.txt,42.16836476325989,0.9321045751633988,0.8783529411764706,0.84,0.8351,0.4908235294117647,0.4904705882352941,,
cifar10,resnet18,objective10,bad_teacher,6,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/bad_teacher/10_resnet18_6.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/bad_teacher/10_resnet18_6_meta.txt,40.2252562046051,0.9410196078431372,0.8698823529411764,0.8418666666666667,0.8365,0.4929411764705882,0.4784705882352941,,
cifar10,resnet18,objective10,bad_teacher,7,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/bad_teacher/10_resnet18_7.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/bad_teacher/10_resnet18_7_meta.txt,42.24118542671204,0.9367320261437908,0.8771764705882353,0.8394666666666667,0.8371,0.4983529411764705,0.4883529411764706,,
cifar10,resnet18,objective10,bad_teacher,8,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/bad_teacher/10_resnet18_8.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/bad_teacher/10_resnet18_8_meta.txt,41.9515597820282,0.9350849673202616,0.8675294117647059,0.84,0.8347,0.5042352941176471,0.4871764705882353,,
cifar10,resnet18,objective10,bad_teacher,9,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/bad_teacher/10_resnet18_9.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/bad_teacher/10_resnet18_9_meta.txt,33.5248658657074,0.9272679738562092,0.8804705882352941,0.8433333333333334,0.8443,0.5011764705882353,0.4901176470588235,,
cifar10,resnet18,objective10,catastrophic_forgetting_gamma_k,0,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/catastrophic_forgetting_gamma_k/10_resnet18_0.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/catastrophic_forgetting_gamma_k/10_resnet18_0_meta.txt,115.17280054092409,0.9343790849673204,0.8774117647058823,0.8081333333333334,0.8018,0.5369411764705883,0.5348235294117647,,
cifar10,resnet18,objective10,catastrophic_forgetting_gamma_k,1,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/catastrophic_forgetting_gamma_k/10_resnet18_1.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/catastrophic_forgetting_gamma_k/10_resnet18_1_meta.txt,115.78842997550964,0.9196601307189542,0.8618823529411764,0.8022666666666667,0.8031,0.5334117647058825,0.5238823529411765,,
